,0,1
const,-529.4462996447965,-344.0182029121595
average_playtime,0.0040176772752180115,0.0046326176016728
achievements,0.04683903056884829,0.055297899875660084
release_year,0.17467780615534687,0.26662066041068977
self_published,-1.1449782568784121,-0.7414583445187455
english,-0.6502695963164429,0.7995597939682848
is_mac,0.1285316643883903,0.6566030189297389
is_linux,-0.22119222766835128,0.38614260366179903
is_multiplayer,2.1133483673823736,2.6816721717106384
is_indie,-4.484265399972314,-4.031305487286845
is_action,-0.2138723155634938,0.16965235694930697
is_vr,2.4811302600591674,4.558626188022772
is_rpg,0.6324711889352175,1.1580491749471218
is_adventure,0.0972360818205269,0.4915208943279312
is_early_access,1.8446524024773039,2.462560541494325
