,0,1
const,-1204.1282986179235,-973.2650929308861
average_playtime,0.000825942722378436,0.0010386776061066829
achievements,-0.00023253237260621582,0.0006286805554100887
release_year,0.48992273613438464,0.6044074863833467
self_published,-1.3872142916850592,-0.8251982477301836
english,-2.7007263433412394,-0.4976754868400828
is_mac,-1.231526647146782,-0.5043012974592024
is_linux,0.4924173518529336,1.3174618464265087
is_multiplayer,2.11917434987806,2.8218660443072467
is_indie,-3.9484762378102043,-3.3412509424878425
is_action,-0.150215905805768,0.39161078810372635
is_vr,1.87216682029067,4.384219729760871
is_rpg,0.9097642956736874,1.6010667038994124
is_adventure,-0.7078242391497357,-0.15326367966108634
is_early_access,-0.5835575867644895,0.20998197117724088
