,0,1
const,-205.8139533663578,-22.180349594271647
average_playtime,0.00020192515023858816,0.0003499279345518524
achievements,-0.00041863389019285326,0.00010280278131170824
release_year,0.013252726989451923,0.10394859588494987
self_published,-1.4773519834028463,-1.0780680346795144
english,0.028355164403604416,1.3920685582447758
is_windows,-4.509079842185568,11.10569093404148
is_mac,0.06699819904115817,0.5862592856121893
is_linux,0.43240246001101657,1.0332926319817
is_multiplayer,1.85252345602819,2.3973136888377136
is_indie,-3.65931519433078,-3.220338969209926
is_action,0.027675857179196017,0.40927073280782295
is_vr,2.0329985823822616,4.0482771831828215
is_rpg,0.7665860848710802,1.2818078936872115
is_adventure,0.23618034319725864,0.6299417376361518
is_early_access,1.089190371012433,1.7012514743162632
