,0,1
const,-530.863007381409,-344.8565017471621
average_playtime,0.004017362875456421,0.004632330043551479
achievements,0.046840805448912275,0.05529990954765469
release_year,0.17466693276030162,0.2666120398677191
self_published,-1.1448878482871825,-0.7413565087289378
english,-0.650341182694654,0.7995225373072169
is_windows,-6.282273745159642,8.576997739581065
is_mac,0.12935323246230052,0.6575630246184172
is_linux,-0.22163368959184027,0.385740041200459
is_multiplayer,2.1135877369500378,2.681934205183669
is_indie,-4.484739929124487,-4.031731786742331
is_action,-0.21364068449609536,0.16990589081760382
is_vr,2.4809133120306726,4.558459670319239
is_rpg,0.6322825381596168,1.1578780695747009
is_adventure,0.09725247441944376,0.4915466709464541
is_early_access,1.8445129196023553,2.4624379471037052
