,0,1
const,-586.115396290302,-367.9311016425982
average_playtime,0.0018348828437172032,0.0022210004852118125
achievements,0.008959322341872066,0.014216645717051573
release_year,0.18688426819477405,0.29506940476730903
self_published,-1.1760828275097663,-0.6999142190141798
english,-0.6091135862507651,1.101625085813297
is_mac,0.39895289201571094,1.0204011994051205
is_linux,-0.12375142458426899,0.590125408917046
is_multiplayer,2.440815682005964,3.107506006700802
is_indie,-4.887923319457435,-4.353853531429154
is_action,-0.14083873041647826,0.31230816391220095
is_vr,2.3949626833312845,4.8019688989636355
is_rpg,1.0801579361570472,1.7010527784591307
is_adventure,-0.08059367031004916,0.3854977605283831
is_early_access,1.324785760482241,2.060626789011852
