,0,1
const,-1153.8835365587595,-919.6874169129726
average_playtime,0.0010797719613630918,0.0013292132076864584
achievements,-0.0002942375828362334,0.0006405072327320504
release_year,0.46331926554354,0.5794448099377454
self_published,-1.3386165007882231,-0.7731997622564928
english,-2.6656085595857615,-0.45362505203497094
is_mac,-1.2044028312072572,-0.47275930822343437
is_linux,0.329520854935434,1.1602956293796098
is_multiplayer,1.9405867164669788,2.649143270602539
is_indie,-3.767353940408815,-3.158751278996782
is_action,-0.21666802482820469,0.33009119058790237
is_vr,0.7619344340488952,3.274241484795437
is_rpg,0.7763832034888601,1.4742220998333346
is_adventure,-0.7584746162505509,-0.20081559330996362
is_early_access,-0.5397721554496485,0.2542096357991689
